x,y,speed
-7.1934,8.4418,4.20
-7.3458,8.4387,4.20
-7.4982,8.4360,4.20
-7.6505,8.4338,4.20
-7.8028,8.4321,4.20
-7.9551,8.4311,4.20
-8.1073,8.4306,4.20
-8.2594,8.4308,4.20
-8.4115,8.4318,4.20
-8.5634,8.4336,4.20
-8.7154,8.4362,4.20
-8.8672,8.4397,4.20
-9.0189,8.4442,4.20
-9.1706,8.4497,4.20
-9.3222,8.4562,4.20
-9.4736,8.4639,4.20
-9.6249,8.4727,4.20
-9.7761,8.4827,4.20
-9.9272,8.4941,4.20
-10.0782,8.5067,4.20
-10.2291,8.5204,4.20
-10.3799,8.5344,4.20
-10.5307,8.5482,4.20
-10.6817,8.5610,4.20
-10.8327,8.5723,4.20
-10.9840,8.5815,4.20
-11.1355,8.5877,4.20
-11.2873,8.5905,4.20
-11.4395,8.5892,4.13
-11.5922,8.5831,3.91
-11.7453,8.5716,3.73
-11.8990,8.5540,3.59
-12.0533,8.5297,3.48
-12.2083,8.4981,3.39
-12.3636,8.4585,3.25
-12.5173,8.4106,3.07
-12.6672,8.3537,2.86
-12.8112,8.2876,2.64
-12.9470,8.2117,2.42
-13.0725,8.1256,2.22
-13.1854,8.0289,2.04
-13.2836,7.9211,1.95
-13.3653,7.8021,1.98
-13.4311,7.6726,2.13
-13.4828,7.5341,2.36
-13.5222,7.3881,2.66
-13.5512,7.2361,3.03
-13.5714,7.0795,3.51
-13.5848,6.9197,4.17
-13.5930,6.7581,4.20
-13.5979,6.5963,4.20
-13.6013,6.4357,4.20
-13.6041,6.2770,4.20
-13.6065,6.1201,4.20
-13.6084,5.9648,4.20
-13.6098,5.8110,4.20
-13.6107,5.6584,4.20
-13.6111,5.5070,4.20
-13.6110,5.3564,4.20
-13.6103,5.2066,4.20
-13.6092,5.0574,4.20
-13.6075,4.9085,4.20
-13.6052,4.7599,4.20
-13.6025,4.6112,4.20
-13.5991,4.4625,4.20
-13.5953,4.3135,4.20
-13.5912,4.1641,4.20
-13.5871,4.0143,4.20
-13.5832,3.8641,4.20
-13.5799,3.7135,4.20
-13.5773,3.5622,4.20
-13.5757,3.4104,4.20
-13.5754,3.2579,4.20
-13.5765,3.1047,4.20
-13.5794,2.9508,4.20
-13.5843,2.7960,4.20
-13.5915,2.6404,4.20
-13.6011,2.4839,4.20
-13.6131,2.3266,4.20
-13.6260,2.1689,4.20
-13.6380,2.0112,4.20
-13.6476,1.8541,4.20
-13.6531,1.6982,3.82
-13.6528,1.5437,3.31
-13.6451,1.3914,2.94
-13.6282,1.2417,2.66
-13.6004,1.0950,2.44
-13.5603,0.9519,2.30
-13.5059,0.8129,2.26
-13.4362,0.6785,2.31
-13.3521,0.5499,2.41
-13.2554,0.4283,2.50
-13.1480,0.3151,2.54
-13.0316,0.2114,2.55
-12.9080,0.1186,2.51
-12.7790,0.0379,2.47
-12.6460,-0.0299,2.47
-12.5094,-0.0855,2.53
-12.3694,-0.1297,2.62
-12.2264,-0.1634,2.75
-12.0805,-0.1874,2.91
-11.9320,-0.2026,3.11
-11.7812,-0.2098,3.36
-11.6283,-0.2099,3.64
-11.4735,-0.2037,3.99
-11.3172,-0.1921,4.20
-11.1596,-0.1759,4.20
-11.0008,-0.1560,4.20
-10.8413,-0.1332,4.20
-10.6812,-0.1084,4.20
-10.5208,-0.0824,4.20
-10.3603,-0.0560,4.20
-10.2000,-0.0303,4.20
-10.0402,-0.0058,4.20
-9.8810,0.0164,4.20
-9.7225,0.0363,4.20
-9.5648,0.0540,4.20
-9.4078,0.0694,4.20
-9.2514,0.0828,4.20
-9.0956,0.0942,4.20
-8.9404,0.1037,4.20
-8.7858,0.1114,4.20
-8.6317,0.1174,4.20
-8.4782,0.1219,4.20
-8.3251,0.1248,4.20
-8.1724,0.1263,4.20
-8.0202,0.1265,4.20
-7.8684,0.1254,4.20
-7.7169,0.1233,4.20
-7.5657,0.1201,4.20
-7.4149,0.1159,4.20
-7.2643,0.1110,4.20
-7.1140,0.1053,4.20
-6.9639,0.0989,4.20
-6.8140,0.0920,4.20
-6.6642,0.0846,4.20
-6.5146,0.0769,4.20
-6.3650,0.0689,4.20
-6.2156,0.0607,4.20
-6.0661,0.0525,4.20
-5.9167,0.0443,4.20
-5.7673,0.0362,4.20
-5.6178,0.0283,4.20
-5.4683,0.0207,4.20
-5.3186,0.0135,4.20
-5.1688,0.0068,4.20
-5.0189,0.0007,4.20
-4.8688,-0.0047,4.20
-4.7184,-0.0095,4.20
-4.5679,-0.0136,4.20
-4.4172,-0.0171,4.20
-4.2664,-0.0200,4.20
-4.1154,-0.0224,4.20
-3.9642,-0.0243,4.20
-3.8129,-0.0257,4.20
-3.6614,-0.0266,4.20
-3.5098,-0.0272,4.20
-3.3581,-0.0274,4.20
-3.2062,-0.0272,4.20
-3.0543,-0.0267,4.20
-2.9022,-0.0259,4.20
-2.7500,-0.0248,4.20
-2.5977,-0.0236,4.20
-2.4453,-0.0221,4.20
-2.2929,-0.0206,4.20
-2.1403,-0.0188,4.20
-1.9877,-0.0170,4.20
-1.8350,-0.0152,4.20
-1.6823,-0.0133,4.20
-1.5295,-0.0114,4.20
-1.3766,-0.0095,4.20
-1.2237,-0.0078,4.20
-1.0708,-0.0061,4.20
-0.9179,-0.0045,4.20
-0.7649,-0.0032,4.20
-0.6119,-0.0020,4.20
-0.4589,-0.0011,4.20
-0.3060,-0.0004,4.20
-0.1530,-0.0000,4.20
